Bus_name,Bus Type,Departure Time,Arrival Time,Duration,Fare,Rating,Seat_Availability,Bus Link,Bus Route
Kadamba Transport Corporation Limited (KTCL) - 145677,Volvo AC Seater 2+2,19:15,06:30,11h 15m,800,4.5,23,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,08:45,10h 15m,606,4.7,10,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Atmaram Gobus,VE A/C Sleeper (2+1),21:00,07:30,10h 30m,555,4.6,17,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
AdIntrCity SmartBus,AC Sleeper (2+1),21:00,07:40,10h 40m,500,4.1,14,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Amrutyog,A/C Sleeper (2+1),22:00,09:30,11h 30m,649,4.5,19,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Vip Yellows,A/C Sleeper (2+1),20:30,08:00,11h 30m,675,4.5,18,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Travels,Bharat Benz A/C Sleeper (2+1),21:00,08:30,11h 30m,647,4.5,13,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),23:00,10:00,11h 00m,540,4.4,18,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:45,08:35,10h 50m,539,4.5,26,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Ashray Grand,Volvo Multi-Axle A/C Sleeper (2+1),23:05,09:30,10h 25m,800,4.2,8,https://www.redbus.in/bus-tickets/pune-to-goa,Pune to Goa
Kadamba Transport Corporation Limited (KTCL) - 89820,A/C Sleeper (2+1),19:00,07:00,12h 00m,900,3.4,9,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),22:30,09:10,10h 40m,575,4.8,19,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Atmaram Gobus,VE A/C Sleeper (2+1),21:32,06:22,08h 50m,601,4.7,17,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
AdShreyash Travels,A/C Sleeper (2+1),20:00,06:00,10h 00m,477,3.0,22,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Ashray Travels,Bharat Benz A/C Sleeper (2+1),22:30,10:00,11h 30m,555,4.5,23,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),21:00,07:05,10h 05m,599,4.4,27,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),19:30,05:35,10h 05m,630,4.4,10,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),18:30,05:25,10h 55m,599,4.4,23,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
Zingbus Plus,Bharat Benz A/C Sleeper (2+1),21:35,10:30,12h 55m,475,4.4,25,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
IntrCity SmartBus,AC Sleeper (2+1),20:00,07:30,11h 30m,500,4.2,11,https://www.redbus.in/bus-tickets/goa-to-pune,Goa to Pune
